SBM Graph: 10000 nodes, 297281 edges
dict_keys(['dmv', 'dwmv', 'dvm', 'dlp'])
In community 0 the proportion of [1, 0, -1] 's is [0.28, 0.15, 0.57]
In community 1 the proportion of [-1, 1, 0] 's is [0.21, 0.65, 0.14]
In community 2 the proportion of [0, 1, -1] 's is [0.19, 0.41, 0.4]
In community 3 the proportion of [-1, 1, 0] 's is [0.46, 0.39, 0.15]
In community 4 the proportion of [0, -1, 1] 's is [0.18, 0.4, 0.42]
In community 5 the proportion of [0, 1, -1] 's is [0.22, 0.46, 0.32]
In community 6 the proportion of [1, 0, -1] 's is [0.38, 0.37, 0.25]
In community 7 the proportion of [0, 1, -1] 's is [0.13, 0.64, 0.23]
In community 8 the proportion of [1, -1, 0] 's is [0.52, 0.22, 0.26]
In community 9 the proportion of [1, 0, -1] 's is [0.47, 0.26, 0.27]
In community 10 the proportion of [0, 1, -1] 's is [0.1, 0.59, 0.31]
In community 11 the proportion of [1, 0, -1] 's is [0.49, 0.33, 0.18]
In community 12 the proportion of [0, -1, 1] 's is [0.22, 0.45, 0.33]
In community 13 the proportion of [0, 1, -1] 's is [0.24, 0.42, 0.34]
In community 14 the proportion of [1, -1, 0] 's is [0.19, 0.57, 0.24]
In community 15 the proportion of [-1, 1, 0] 's is [0.34, 0.43, 0.23]
In community 16 the proportion of [1, -1, 0] 's is [0.5, 0.44, 0.06]
In community 17 the proportion of [1, -1, 0] 's is [0.42, 0.43, 0.15]
In community 18 the proportion of [1, -1, 0] 's is [0.36, 0.52, 0.12]
In community 19 the proportion of [-1, 0, 1] 's is [0.65, 0.14, 0.21]
In community 20 the proportion of [-1, 0, 1] 's is [0.58, 0.2, 0.22]
In community 21 the proportion of [-1, 1, 0] 's is [0.38, 0.4, 0.22]
In community 22 the proportion of [1, -1, 0] 's is [0.39, 0.57, 0.04]
In community 23 the proportion of [-1, 1, 0] 's is [0.37, 0.54, 0.09]
In community 24 the proportion of [-1, 1, 0] 's is [0.49, 0.31, 0.2]
