SBM Graph: 50000 nodes, 2740057 edges
dict_keys(['dmv', 'dwmv', 'dvm', 'dlp'])
In community 0 the proportion of [-1, 1, 0] 's is [0.932, 0.032, 0.036]
In community 1 the proportion of [0, 1, -1] 's is [0.892, 0.048, 0.06]
In community 2 the proportion of [0, 1, -1] 's is [0.9, 0.072, 0.028]
In community 3 the proportion of [-1, 1, 0] 's is [0.904, 0.052, 0.044]
In community 4 the proportion of [-1, 0, 1] 's is [0.928, 0.024, 0.048]
In community 5 the proportion of [0, 1, -1] 's is [0.916, 0.032, 0.052]
In community 6 the proportion of [0, -1, 1] 's is [0.936, 0.044, 0.02]
In community 7 the proportion of [-1, 1, 0] 's is [0.08, 0.884, 0.036]
In community 8 the proportion of [-1, 0, 1] 's is [0.916, 0.04, 0.044]
In community 9 the proportion of [-1, 1, 0] 's is [0.036, 0.92, 0.044]
In community 10 the proportion of [-1, 0, 1] 's is [0.88, 0.044, 0.076]
In community 11 the proportion of [-1, 1, 0] 's is [0.904, 0.048, 0.048]
In community 12 the proportion of [1, -1, 0] 's is [0.888, 0.072, 0.04]
In community 13 the proportion of [1, -1, 0] 's is [0.892, 0.064, 0.044]
In community 14 the proportion of [-1, 0, 1] 's is [0.896, 0.068, 0.036]
In community 15 the proportion of [-1, 1, 0] 's is [0.904, 0.048, 0.048]
In community 16 the proportion of [-1, 1, 0] 's is [0.896, 0.06, 0.044]
In community 17 the proportion of [-1, 0, 1] 's is [0.896, 0.044, 0.06]
In community 18 the proportion of [-1, 0, 1] 's is [0.888, 0.068, 0.044]
In community 19 the proportion of [1, 0, -1] 's is [0.904, 0.06, 0.036]
In community 20 the proportion of [1, -1, 0] 's is [0.908, 0.072, 0.02]
In community 21 the proportion of [1, 0, -1] 's is [0.908, 0.036, 0.056]
In community 22 the proportion of [0, 1, -1] 's is [0.904, 0.068, 0.028]
In community 23 the proportion of [0, -1, 1] 's is [0.916, 0.044, 0.04]
In community 24 the proportion of [1, 0, -1] 's is [0.896, 0.048, 0.056]
In community 25 the proportion of [0, -1, 1] 's is [0.088, 0.876, 0.036]
In community 26 the proportion of [1, 0, -1] 's is [0.916, 0.052, 0.032]
In community 27 the proportion of [-1, 1, 0] 's is [0.88, 0.072, 0.048]
In community 28 the proportion of [1, 0, -1] 's is [0.032, 0.92, 0.048]
In community 29 the proportion of [0, -1, 1] 's is [0.872, 0.068, 0.06]
In community 30 the proportion of [-1, 1, 0] 's is [0.892, 0.06, 0.048]
In community 31 the proportion of [-1, 1, 0] 's is [0.868, 0.044, 0.088]
In community 32 the proportion of [1, -1, 0] 's is [0.9, 0.044, 0.056]
In community 33 the proportion of [1, -1, 0] 's is [0.056, 0.888, 0.056]
In community 34 the proportion of [-1, 0, 1] 's is [0.904, 0.048, 0.048]
In community 35 the proportion of [1, 0, -1] 's is [0.916, 0.044, 0.04]
In community 36 the proportion of [-1, 1, 0] 's is [0.908, 0.056, 0.036]
In community 37 the proportion of [0, -1, 1] 's is [0.056, 0.904, 0.04]
In community 38 the proportion of [0, 1, -1] 's is [0.896, 0.06, 0.044]
In community 39 the proportion of [-1, 0, 1] 's is [0.9, 0.04, 0.06]
In community 40 the proportion of [0, 1, -1] 's is [0.952, 0.028, 0.02]
In community 41 the proportion of [0, -1, 1] 's is [0.908, 0.04, 0.052]
In community 42 the proportion of [-1, 0, 1] 's is [0.044, 0.064, 0.892]
In community 43 the proportion of [-1, 1, 0] 's is [0.9, 0.044, 0.056]
In community 44 the proportion of [0, 1, -1] 's is [0.892, 0.052, 0.056]
In community 45 the proportion of [1, 0, -1] 's is [0.916, 0.028, 0.056]
In community 46 the proportion of [-1, 0, 1] 's is [0.944, 0.02, 0.036]
In community 47 the proportion of [1, -1, 0] 's is [0.896, 0.064, 0.04]
In community 48 the proportion of [-1, 0, 1] 's is [0.904, 0.052, 0.044]
In community 49 the proportion of [0, 1, -1] 's is [0.884, 0.052, 0.064]
In community 50 the proportion of [1, 0, -1] 's is [0.884, 0.052, 0.064]
In community 51 the proportion of [1, 0, -1] 's is [0.888, 0.056, 0.056]
In community 52 the proportion of [0, -1, 1] 's is [0.932, 0.036, 0.032]
In community 53 the proportion of [0, 1, -1] 's is [0.928, 0.028, 0.044]
In community 54 the proportion of [-1, 0, 1] 's is [0.04, 0.92, 0.04]
In community 55 the proportion of [1, 0, -1] 's is [0.828, 0.072, 0.1]
In community 56 the proportion of [0, 1, -1] 's is [0.88, 0.04, 0.08]
In community 57 the proportion of [-1, 1, 0] 's is [0.044, 0.92, 0.036]
In community 58 the proportion of [0, -1, 1] 's is [0.94, 0.04, 0.02]
In community 59 the proportion of [-1, 0, 1] 's is [0.908, 0.048, 0.044]
In community 60 the proportion of [-1, 1, 0] 's is [0.924, 0.032, 0.044]
In community 61 the proportion of [0, -1, 1] 's is [0.916, 0.04, 0.044]
In community 62 the proportion of [-1, 0, 1] 's is [0.928, 0.04, 0.032]
In community 63 the proportion of [0, -1, 1] 's is [0.912, 0.044, 0.044]
In community 64 the proportion of [-1, 1, 0] 's is [0.92, 0.04, 0.04]
In community 65 the proportion of [1, -1, 0] 's is [0.928, 0.04, 0.032]
In community 66 the proportion of [0, -1, 1] 's is [0.924, 0.04, 0.036]
In community 67 the proportion of [1, -1, 0] 's is [0.86, 0.076, 0.064]
In community 68 the proportion of [1, 0, -1] 's is [0.932, 0.036, 0.032]
In community 69 the proportion of [1, 0, -1] 's is [0.816, 0.124, 0.06]
In community 70 the proportion of [0, 1, -1] 's is [0.912, 0.052, 0.036]
In community 71 the proportion of [-1, 0, 1] 's is [0.912, 0.056, 0.032]
In community 72 the proportion of [1, -1, 0] 's is [0.832, 0.088, 0.08]
In community 73 the proportion of [0, 1, -1] 's is [0.92, 0.044, 0.036]
In community 74 the proportion of [0, -1, 1] 's is [0.912, 0.044, 0.044]
In community 75 the proportion of [1, -1, 0] 's is [0.896, 0.06, 0.044]
In community 76 the proportion of [1, 0, -1] 's is [0.916, 0.052, 0.032]
In community 77 the proportion of [-1, 0, 1] 's is [0.912, 0.06, 0.028]
In community 78 the proportion of [0, 1, -1] 's is [0.928, 0.036, 0.036]
In community 79 the proportion of [0, -1, 1] 's is [0.936, 0.036, 0.028]
In community 80 the proportion of [-1, 0, 1] 's is [0.064, 0.868, 0.068]
In community 81 the proportion of [1, 0, -1] 's is [0.904, 0.044, 0.052]
In community 82 the proportion of [1, 0, -1] 's is [0.908, 0.044, 0.048]
In community 83 the proportion of [1, -1, 0] 's is [0.896, 0.064, 0.04]
In community 84 the proportion of [-1, 1, 0] 's is [0.904, 0.036, 0.06]
In community 85 the proportion of [1, -1, 0] 's is [0.92, 0.048, 0.032]
